node_id,dx_mm,dy_mm,dz_mm,total_mm
23381,0.0002385714,-0.0000359915,-0.0006376113,0.0006817330
23382,0.0002408975,-0.0000330354,-0.0006474752,0.0006916264
23383,0.0002427035,-0.0000303078,-0.0006550304,0.0006992055
23384,0.0002436595,-0.0000272388,-0.0006603736,0.0007044183
23385,0.0002443055,-0.0000245782,-0.0006634717,0.0007074489
23386,0.0002444315,-0.0000223361,-0.0006646911,0.0007085619
23387,0.0002437776,-0.0000197026,-0.0006638390,0.0007074588
23388,0.0002427738,-0.0000170176,-0.0006607319,0.0007041274
23389,0.0002409901,-0.0000141810,-0.0006553370,0.0006983866
23390,0.0002387666,-0.0000118531,-0.0006482407,0.0006909168
23391,0.0002359533,-0.0000087936,-0.0006391203,0.0006813413
23392,0.0002326302,-0.0000061726,-0.0006281124,0.0006698359
23393,0.0002286675,-0.0000030002,-0.0006151839,0.0006563148
23394,0.0002244950,0.0000000236,-0.0006004817,0.0006410743
23395,0.0002200524,0.0000030790,-0.0005839279,0.0006240227
23396,0.0002151209,0.0000061257,-0.0005662237,0.0006057423
23397,0.0002096894,0.0000093040,-0.0005467964,0.0005856983
23398,0.0002037182,0.0000131337,-0.0005257884,0.0005640276
23399,0.0001976180,0.0000167046,-0.0005035197,0.0005411691
23400,0.0001910782,0.0000206170,-0.0004800203,0.0005170642
23401,0.0001843086,0.0000246709,-0.0004551945,0.0004917116
23402,0.0001774908,0.0000287656,-0.0004298919,0.0004659801
23403,0.0001702619,0.0000331824,-0.0004028878,0.0004386442
23404,0.0001631451,0.0000375700,-0.0003757535,0.0004113618
23405,0.0001556576,0.0000423694,-0.0003473979,0.0003830271
23406,0.0001482412,0.0000470601,-0.0003185130,0.0003544582
23407,0.0001407859,0.0000518218,-0.0002894323,0.0003260019
23408,0.0001332607,0.0000567951,-0.0002596354,0.0002973124
23409,0.0001257558,0.0000617885,-0.0002297852,0.0002691348
23410,0.0001183136,0.0000668652,-0.0001998133,0.0002416494
23411,0.0001109653,0.0000719711,-0.0001698171,0.0002152463
23412,0.0001037638,0.0000771141,-0.0001399160,0.0001904993
23413,0.0000966623,0.0000822934,-0.0001101005,0.0001680414
23414,0.0000897277,0.0000875448,-0.0000807351,0.0001491084
23415,0.0000830120,0.0000926124,-0.0000516614,0.0001346735
23416,0.0000764533,0.0000977321,-0.0000231911,0.0001262319
23417,0.0000701936,0.0001027479,0.0000047361,0.0001245259
23418,0.0000641640,0.0001077118,0.0000319753,0.0001293880
23419,0.0000584064,0.0001125047,0.0000585289,0.0001396218
23420,0.0000528759,0.0001171956,0.0000842953,0.0001537413
23421,0.0000475635,0.0001217916,0.0001091469,0.0001703189
23422,0.0000425193,0.0001262674,0.0001330371,0.0001882823
23423,0.0000377147,0.0001304603,0.0001560088,0.0002068358
23424,0.0000331297,0.0001343850,0.0001778187,0.0002253362
23425,0.0000288291,0.0001380347,0.0001984047,0.0002434114
23426,0.0000248418,0.0001414423,0.0002177152,0.0002608121
23427,0.0000212565,0.0001446597,0.0002358288,0.0002774770
23428,0.0000178274,0.0001474659,0.0002527772,0.0002931899
23429,0.0000148166,0.0001500169,0.0002680455,0.0003075272
23430,0.0000121390,0.0001521115,0.0002822278,0.0003208392
23431,0.0000097328,0.0001539796,0.0002950036,0.0003329137
23432,0.0000075209,0.0001555333,0.0003065039,0.0003437904
23433,0.0000055354,0.0001567888,0.0003166080,0.0003533469
23434,0.0000038562,0.0001577008,0.0003254735,0.0003616869
23435,0.0000023454,0.0001583116,0.0003330323,0.0003687528
23436,0.0000009990,0.0001586095,0.0003393819,0.0003746172
23437,-0.0000001521,0.0001586599,0.0003444794,0.0003792611
23438,-0.0000011788,0.0001583543,0.0003483911,0.0003826929
23439,-0.0000020920,0.0001577696,0.0003510739,0.0003849006
23440,-0.0000028718,0.0001567565,0.0003525444,0.0003858347
23441,-0.0000034272,0.0001555461,0.0003528795,0.0003856557
23442,-0.0000038221,0.0001540014,0.0003522063,0.0003844221
23443,-0.0000041596,0.0001521620,0.0003505321,0.0003821561
23444,-0.0000044536,0.0001501437,0.0003479040,0.0003789461
23445,-0.0000046632,0.0001478878,0.0003443596,0.0003748014
23446,-0.0000048373,0.0001453761,0.0003399665,0.0003697767
23447,-0.0000049749,0.0001426887,0.0003347826,0.0003639563
23448,-0.0000050510,0.0001398354,0.0003288757,0.0003574055
23449,-0.0000051197,0.0001367743,0.0003223140,0.0003501709
23450,-0.0000051988,0.0001335792,0.0003151456,0.0003423261
23451,-0.0000052095,0.0001303472,0.0003074491,0.0003339797
23452,-0.0000051907,0.0001270242,0.0002992829,0.0003251651
23453,-0.0000052263,0.0001235442,0.0002906958,0.0003159027
